fielders,isout,team,wickettype,Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,Sum of fours,Sum of innings,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate
{48739},true,Kings XI,caught,165,531325,59,669504,23,17,11396157,195,4,1054.36
{4176},true,Mumbai,caught,164,223883,31,347459,25,14,3786161,203,4,1115.84
{49752},true,Royals,caught,164,772093,39,528793,17,16,11173927,205,9,971.02
{7139},true,RCB,caught,163,435763,39,289301,15,14,8785733,185,8,883.58
{51096},true,Mumbai,caught,162,433822,49,528649,17,13,8639983,206,9,987.3
{15887},true,KKR,caught,159,206931,38,459475,18,14,7929746,217,10,1033.48
{60806},true,Kings XI,caught,159,318531,37,430120,20,11,7734306,220,12,797.58
{15716},true,Daredevils,caught,158,445460,74,456355,16,23,8120745,176,6,1344.28
{47185},true,Royals,caught,158,175126,18,255432,37,12,4464794,255,7,1021.86
{48405},true,Royals,caught,158,478247,42,423533,17,15,8897743,165,4,865.59
{48405},true,RCB,caught,156,517569,45,691060,12,15,10997506,162,8,995.9
{8813},true,Super Kings,caught,156,388011,52,524325,13,19,9843508,172,6,1334.85
{53891},true,KKR,caught,155,376684,50,691918,23,14,10187417,225,11,1661.71
{54222},true,KKR,caught,155,348981,41,558645,19,13,9735582,207,8,961.81
{59599},true,Super Kings,caught,155,168825,32,410726,19,14,6913905,211,8,1414.04
{86165},true,Mumbai,caught,155,687014,49,613556,16,14,13153401,197,8,1321.99
{49752},true,KKR,caught,153,574080,65,629212,15,22,14147819,189,8,1415.12
{51454},true,KKR,caught,153,427758,33,546410,22,14,9170724,204,8,1169.33
{46533},true,Daredevils,caught,152,301156,26,267176,18,7,5133551,215,11,596.35
{46533},true,Chargers,caught,151,202378,39,239791,15,12,3736489,208,9,1007.02
{51216},true,Mumbai,caught,151,475906,43,509478,20,18,9505761,211,13,1148.22
{45257},true,Mumbai,caught,150,449000,41,418757,14,11,7343267,156,3,690.49
{46597},true,Capitals,caught,149,541719,36,569226,19,15,10256091,184,6,877.94
{46933},true,Sunrisers,caught,149,462124,38,400946,24,12,9100575,199,3,1000.24
{4176},true,Daredevils,caught,148,218711,32,282115,15,17,4395546,151,7,782.77
{47078},true,Mumbai,caught,148,262743,25,384219,15,9,6211008,169,4,609.4
{61990},true,Sunrisers,caught,148,499900,40,523481,11,15,10003058,177,9,1055.04
{45554},true,RCB,caught,147,299084,32,220112,18,13,6363684,169,4,591.08
{51088},true,KKR,caught,147,296963,17,370509,14,7,6835217,175,5,679.94
